code,name,market,sector
005930,삼성전자,KOSPI,IT
000660,SK하이닉스,KOSPI,IT
035420,NAVER,KOSPI,IT
035720,카카오,KOSPI,IT
005380,현대차,KOSPI,자동차
000270,기아,KOSPI,자동차
051910,LG화학,KOSPI,화학
066570,LG전자,KOSPI,전자
003550,LG,KOSPI,지주회사
034220,LG디스플레이,KOSPI,디스플레이
055550,신한지주,KOSPI,금융
105560,KB금융,KOSPI,금융
086790,하나금융지주,KOSPI,금융
323410,카카오뱅크,KOSPI,금융
068270,셀트리온,KOSPI,바이오
207940,삼성바이오로직스,KOSPI,바이오
196170,알테오젠,KOSDAQ,바이오
302440,에이치엘비,KOSDAQ,바이오
005490,POSCO홀딩스,KOSPI,철강
003670,포스코퓨처엠,KOSPI,소재
373220,LG에너지솔루션,KOSPI,배터리
006400,삼성SDI,KOSPI,배터리
017670,SK텔레콤,KOSPI,통신
030200,KT,KOSPI,통신
032640,LG유플러스,KOSPI,통신
036570,엔씨소프트,KOSPI,게임
251270,넷마블,KOSPI,게임
122870,와이지엔터테인먼트,KOSDAQ,엔터
011170,롯데케미칼,KOSPI,화학
097950,CJ제일제당,KOSPI,식품
271560,오리온,KOSPI,식품
005935,삼성전자우,KOSPI,IT
005385,현대차우,KOSPI,자동차
