Year,????,???,??,??,???,EPS,PER,?? EPS,?? PER,BPS,PBR,?????,?????
2024-12-23,60310,3S,1908,37,1.98,54,35.33,,,998,1.91,0,0
2024-12-23,95570,AJ????,4725,5,0.11,367,12.87,1058,4.47,9326,0.51,270,5.71
2024-12-23,6840,AK???,11000,50,0.46,2635,4.17,,,44339,0.25,200,1.82
2024-12-23,54620,APS,5480,-10,-0.18,667,8.22,,,11683,0.47,0,0
2024-12-23,265520,AP???,16210,950,6.23,3997,4.06,4513,3.59,21396,0.76,270,1.67
2024-12-23,211270,AP??,12800,780,6.49,739,17.32,1021,12.54,6680,1.92,70,0.55
2024-12-23,109960,AP????,584,0,0,80,7.3,,,2518,0.23,0,0
2024-12-23,139050,BF??,2805,0,0,11,255,,,5250,0.53,0,0
2024-12-23,27410,BGF,3520,45,1.29,813,4.33,690,5.1,17286,0.2,120,3.41
2024-12-23,282330,BGF???,107700,100,0.09,11337,9.5,12132,8.88,62197,1.73,4100,3.81
2024-12-23,126600,BGF???????,2825,75,2.73,,,,,6471,0.44,70,2.48
2024-12-23,138930,BNK????,10630,370,3.61,1905,5.58,2614,4.07,31746,0.33,510,4.8
2024-12-23,1460,BYC,29500,-100,-0.34,2836,10.4,,,64090,0.46,300,1.02
2024-12-23,1465,BYC?,13070,60,0.46,,,,,,,305,2.33
2024-12-23,13720,CBI,815,-9,-1.09,,,,,1093,0.75,0,0
2024-12-23,83790,CG????,2480,-15,-0.6,,,,,1587,1.56,0,0
2024-12-23,1040,CJ,107900,1700,1.6,5806,18.58,11973,9.01,164443,0.66,3000,2.78
2024-12-23,79160,CJ CGV,5390,10,0.19,,,160,33.63,3441,1.57,0,0
2024-12-23,35760,CJ ENM,59300,-100,-0.17,,,3429,17.29,156237,0.38,0,0
2024-12-23,311690,CJ ???????,10120,0,0,,,,,7846,1.29,0,0
2024-12-23,00104K,CJ4?(??),82700,400,0.49,,,,,,,3050,3.69
2024-12-23,120,CJ????,82500,1600,1.98,10357,7.97,12804,6.44,180690,0.46,500,0.61
2024-12-23,11150,CJ???,3040,5,0.16,123,24.72,,,2160,1.41,0,0
2024-12-23,11155,CJ???1?,19930,-320,-1.58,,,,,,,0,0
2024-12-23,1045,CJ?,58100,200,0.35,,,,,,,3050,5.25
2024-12-23,97950,CJ????,265000,4500,1.73,24081,11,35976,7.37,446325,0.59,5500,2.08
2024-12-23,97955,CJ???? ?,129800,900,0.7,,,,,,,5550,4.28
2024-12-23,51500,CJ?????,18050,90,0.5,4489,4.02,5447,3.31,24396,0.74,450,2.49
2024-12-23,58820,CMG??,1764,3,0.17,46,38.35,,,1370,1.29,0,0
2024-12-23,23460,CNH,109,0,0,,,,,2748,0.04,0,0
2024-12-23,56730,CNT85,698,23,3.41,193,3.62,,,1042,0.67,0,0
2024-12-23,480,CR???,5860,-30,-0.51,14,418.57,,,14318,0.41,410,7
2024-12-23,65770,CS,1490,-69,-4.43,,,,,902,1.65,0,0
2024-12-23,83660,CSA ???,1037,-9,-0.86,,,,,362,2.86,0,0
2024-12-23,590,CS???,68800,500,0.73,15091,4.56,,,264028,0.26,500,0.73
2024-12-23,12030,DB,1550,10,0.65,106,14.62,,,2067,0.75,0,0
2024-12-23,456440,DB????11?,2275,0,0,,,,,,,0,0
2024-12-23,477760,DB????12?,2020,-25,-1.22,,,,,,,0,0
2024-12-23,16610,DB????,5340,70,1.33,151,35.36,,,24561,0.22,200,3.75
2024-12-23,5830,DB????,104700,4400,4.39,28955,3.62,30113,3.48,170486,0.61,5300,5.06
2024-12-23,990,DB???,33600,400,1.2,6241,5.38,5954,5.64,41655,0.81,580,1.73
2024-12-23,139130,DGB????,8440,220,2.68,2180,3.87,2573,3.28,35751,0.24,550,6.52
2024-12-23,99520,DGI,1284,0,0,,,,,566,2.27,0,0
2024-12-23,60900,DGP,1016,11,1.09,,,,,2149,0.47,0,0
2024-12-23,290120,DH????,2240,-5,-0.22,,,,,5438,0.41,0,0
2024-12-23,25440,DH????,827,14,1.72,22,37.59,,,1995,0.41,0,0
2024-12-23,1530,DI??,51100,-100,-0.2,164,311.59,850,60.1,30136,1.7,250,0.49
2024-12-23,210,DL,33800,1000,3.05,,,3931,8.6,169901,0.2,1000,2.96
2024-12-23,215,DL?,20250,330,1.66,,,,,,,1050,5.19
2024-12-23,375500,DL???,33100,1200,3.76,4679,7.07,7150,4.63,118750,0.28,500,1.51
2024-12-23,37550L,DL???2?(??),21600,350,1.65,,,,,,,500,2.31
2024-12-23,37550K,DL????,16250,250,1.56,,,,,,,550,3.38
2024-12-23,68790,DMS,6240,60,0.97,829,7.53,,,13160,0.47,90,1.44
2024-12-23,7340,DN?????,18480,190,1.04,6386,2.89,,,26478,0.7,600,3.25
2024-12-23,4840,DRB??,4230,30,0.71,798,5.3,,,19664,0.22,100,2.36
2024-12-23,241520,DSC??????,2950,15,0.51,543,5.43,,,3895,0.76,40,1.36
2024-12-23,155660,DSR,4055,55,1.38,1093,3.71,,,13467,0.3,60,1.48
2024-12-23,69730,DSR??,3735,60,1.63,899,4.15,,,13555,0.28,60,1.61
2024-12-23,17860,DS??,36600,500,1.39,2656,13.78,,,15779,2.32,0,0
2024-12-23,180400,DXVX,1730,10,0.58,,,,,608,2.85,0,0
2024-12-23,17940,E1,71900,600,0.84,36872,1.95,,,280943,0.26,5150,7.16
2024-12-23,245620,EDGC,415,0,0,,,,,324,1.28,0,0
2024-12-23,37370,EG,5690,120,2.15,,,,,6927,0.82,0,0
2024-12-23,50120,ES??,1813,6,0.33,,,,,6161,0.29,0,0
2024-12-23,383220,F&F,54900,300,0.55,11144,4.93,9982,5.5,33834,1.62,1700,3.1
2024-12-23,7700,F&F???,12140,80,0.66,3130,3.88,,,54668,0.22,400,3.29
2024-12-23,214270,FSN,1874,16,0.86,,,,,2272,0.82,0,0
2024-12-23,130500,GH???,3050,-15,-0.49,148,20.61,,,5394,0.57,0,0
2024-12-23,114090,GKL,11350,90,0.8,709,16.01,946,11.99,6658,1.7,353,3.11
2024-12-23,78930,GS,41700,1350,3.35,13737,3.04,12597,3.31,142065,0.29,2500,6
2024-12-23,83450,GST,16800,1460,9.52,1985,8.46,,,12539,1.34,500,2.98
2024-12-23,6360,GS??,18190,390,2.19,,,3512,5.18,50825,0.36,0,0
2024-12-23,1250,GS???,2715,95,3.63,337,8.06,,,5113,0.53,25,0.92
2024-12-23,7070,GS???,18970,-830,-4.19,173,109.65,1912,9.92,39235,0.48,500,2.64
2024-12-23,78935,GS?,38350,600,1.59,,,,,,,2550,6.65
2024-12-23,499790,GS???,25550,-4550,-15.12,,,,,,,0,0
2024-12-23,297890,HB???,2880,95,3.41,1137,2.53,,,3319,0.87,30,1.04
2024-12-23,440290,HB??????,1651,9,0.55,444,3.72,,,2922,0.57,0,0
2024-12-23,78150,HB?????,1996,64,3.31,983,2.03,,,3503,0.57,20,1
2024-12-23,12630,HDC,12130,110,0.92,2147,5.65,,,49804,0.24,300,2.47
2024-12-23,39570,HDC??,8540,-240,-2.73,573,14.9,424,20.15,11253,0.76,450,5.27
2024-12-23,89470,HDC??EP,3555,60,1.72,759,4.68,,,11685,0.3,140,3.94
2024-12-23,294870,HDC??????,19030,580,3.14,2678,7.11,4597,4.14,46876,0.41,700,3.68
2024-12-23,9540,HD??????,230000,17500,8.24,3135,73.37,23428,9.82,140052,1.64,0,0
2024-12-23,267250,HD??,81400,2400,3.04,3743,21.75,15533,5.24,103689,0.79,3700,4.55
2024-12-23,267270,HD??????,62100,1200,1.97,7659,8.11,7526,8.25,86604,0.72,700,1.13
2024-12-23,443060,HD???????,156900,-5100,-3.15,3778,41.53,6857,22.88,5999,26.15,2500,1.59
2024-12-23,71970,HD??????,23650,100,0.42,1108,21.34,1092,21.65,7893,3,0,0
2024-12-23,10620,HD????,138800,-100,-0.07,,,6384,21.74,49396,2.81,0,0
2024-12-23,322000,HD????????,20650,250,1.23,,,1000,20.65,33175,0.62,0,0
2024-12-23,42670,HD???????,7110,270,3.95,1159,6.13,986,7.21,9097,0.78,110,1.55
2024-12-23,267260,HD??????,383500,17500,4.78,7200,53.26,19159,20.02,29121,13.17,1000,0.26
2024-12-23,329180,HD?????,269500,9000,3.45,278,969.42,9983,27,58660,4.59,0,0
2024-12-23,97230,HJ???,6660,810,13.85,,,,,4093,1.63,0,0
2024-12-23,195940,HK???,36100,200,0.56,1666,21.67,2915,12.38,42487,0.85,350,0.97
2024-12-23,14790,HL D&I,2255,60,2.73,370,6.09,796,2.83,9721,0.23,0,0
2024-12-23,28300,HLB,67600,-2000,-2.87,,,,,4034,16.76,0,0
2024-12-23,3580,HLB???,3780,-25,-0.66,,,,,1166,3.24,0,0
2024-12-23,278650,HLB?????,1980,-25,-1.25,,,,,1300,1.52,0,0
2024-12-23,67630,HLB????,9560,-160,-1.65,,,,,2209,4.33,0,0
2024-12-23,24850,HLB?????,2240,-20,-0.88,,,,,858,2.61,0,0
2024-12-23,47920,HLB??,21850,-950,-4.17,,,,,2908,7.51,0,0
