Year,종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2025-08-25,60310,3S,1809,-11,-0.6,54,33.5,,,998,1.81,0,0
2025-08-25,95570,AJ네트웍스,4400,50,1.15,485,9.07,474,9.29,9902,0.44,270,6.14
2025-08-25,6840,AK홀딩스,11450,280,2.51,,,,,40295,0.28,400,3.49
2025-08-25,54620,APS,4695,-35,-0.74,,,,,11326,0.41,0,0
2025-08-25,265520,AP시스템,17850,300,1.71,3448,5.18,,,22405,0.8,530,2.97
2025-08-25,211270,AP위성,11750,-20,-0.17,733,16.03,,,7393,1.59,0,0
2025-08-25,109960,AP헬스케어,366,-17,-4.44,,,,,1503,0.24,0,0
2025-08-25,139050,BF랩스,2805,0,0,,,,,2348,1.19,0,0
2025-08-25,27410,BGF,4025,0,0,963,4.18,519,7.76,18202,0.22,130,3.23
2025-08-25,282330,BGF리테일,118100,-1000,-0.84,11301,10.45,11217,10.53,68546,1.72,4100,3.47
2025-08-25,126600,BGF에코머티리얼즈,3000,20,0.67,259,11.58,,,6475,0.46,50,1.67
2025-08-25,138930,BNK금융지주,14850,170,1.16,2174,6.83,2596,5.72,33604,0.44,650,4.38
2025-08-25,1460,BYC,39700,-400,-1,2205,18,,,66074,0.6,350,0.88
2025-08-25,1465,BYC우,25900,100,0.39,,,,,,,355,1.37
2025-08-25,83790,CG인바이츠,1696,72,4.43,,,,,1072,1.58,0,0
2025-08-25,1040,CJ,160800,5300,3.41,2993,53.73,11703,13.74,162804,0.99,3000,1.87
2025-08-25,79160,CJ CGV,4740,-60,-1.25,,,,,4177,1.13,0,0
2025-08-25,35760,CJ ENM,73800,-2200,-2.89,,,3006,24.55,134764,0.55,0,0
2025-08-25,311690,CJ 바이오사이언스,9930,-30,-0.3,,,,,5951,1.67,0,0
2025-08-25,00104K,CJ4우(전환),133300,2000,1.52,,,,,,,3050,2.29
2025-08-25,120,CJ대한통운,83800,800,0.96,12088,6.93,11542,7.26,197983,0.42,800,0.95
2025-08-25,11150,CJ씨푸드,2880,-5,-0.17,139,20.72,,,2315,1.24,0,0
2025-08-25,11155,CJ씨푸드1우,17100,-190,-1.1,,,,,,,0,0
2025-08-25,1045,CJ우,85400,2000,2.4,,,,,,,3050,3.57
2025-08-25,97950,CJ제일제당,231000,500,0.22,9244,24.99,29051,7.95,490755,0.47,6000,2.6
2025-08-25,97955,CJ제일제당 우,139800,0,0,,,,,,,6050,4.33
2025-08-25,51500,CJ프레시웨이,29550,50,0.17,2184,13.53,5090,5.81,34990,0.84,450,1.52
2025-08-25,58820,CMG제약,1884,1,0.05,19,99.16,,,1365,1.38,0,0
2025-08-25,56730,CNT85,755,0,0,,,,,1021,0.74,0,0
2025-08-25,480,CR홀딩스,5000,-10,-0.2,,,,,14790,0.34,410,8.2
2025-08-25,65770,CS,996,-1,-0.1,56,17.79,,,957,1.04,0,0
2025-08-25,83660,CSA 코스믹,1465,61,4.34,,,,,267,5.49,0,0
2025-08-25,590,CS홀딩스,83000,600,0.73,29452,2.82,,,305543,0.27,500,0.6
2025-08-25,12030,DB,1375,10,0.73,486,2.83,,,2060,0.67,0,0
2025-08-25,477760,DB금융스팩12호,2075,-5,-0.24,,,,,,,0,0
2025-08-25,5830,DB손해보험,132000,500,0.38,30838,4.28,25494,5.18,154832,0.85,6800,5.15
2025-08-25,16610,DB증권,8740,340,4.05,1233,7.09,,,25569,0.34,400,4.58
2025-08-25,990,DB하이텍,45550,-600,-1.3,5520,8.25,6327,7.2,47181,0.97,1230,2.7
2025-08-25,99520,DGI,1284,0,0,27,47.56,,,578,2.22,0,0
2025-08-25,60900,DGP,1048,-11,-1.04,,,,,1621,0.65,0,0
2025-08-25,300,DH오토넥스,1984,0,0,5650,0.35,,,426,4.66,0,0
2025-08-25,290120,DH오토리드,2430,-30,-1.22,147,16.53,,,5558,0.44,80,3.29
2025-08-25,25440,DH오토웨어,809,-1,-0.12,,,,,1880,0.43,0,0
2025-08-25,1530,DI동일,41350,-50,-0.12,78,530.13,884,46.79,27850,1.48,250,0.6
2025-08-25,15590,DKME,515,0,0,10,51.5,,,535,0.96,0,0
2025-08-25,210,DL,39200,350,0.9,3948,9.93,5968,6.57,181662,0.22,1000,2.55
2025-08-25,215,DL우,23050,-100,-0.43,,,,,,,1050,4.56
2025-08-25,375500,DL이앤씨,42750,-50,-0.12,5413,7.9,8416,5.08,114139,0.37,540,1.26
2025-08-25,37550L,DL이앤씨2우(전환),29600,-200,-0.67,,,,,,,540,1.82
2025-08-25,37550K,DL이앤씨우,19300,-30,-0.16,,,,,,,590,3.06
2025-08-25,68790,DMS,6330,0,0,847,7.47,,,14570,0.43,100,1.58
2025-08-25,7340,DN오토모티브,26700,200,0.75,6222,4.29,,,33645,0.79,1000,3.75
2025-08-25,4840,DRB동일,4990,-10,-0.2,491,10.16,,,20777,0.24,100,2
2025-08-25,241520,DSC인베스트먼트,6670,100,1.52,405,16.47,,,4308,1.55,40,0.6
2025-08-25,155660,DSR,3755,40,1.08,907,4.14,,,14456,0.26,70,1.86
2025-08-25,69730,DSR제강,3905,-15,-0.38,,,,,11477,0.34,100,2.56
2025-08-25,17860,DS단석,21400,-50,-0.23,,,,,15941,1.34,0,0
2025-08-25,180400,DXVX,2435,-45,-1.81,,,,,284,8.57,0,0
2025-08-25,92780,DYP,4120,-80,-1.9,672,6.13,,,10894,0.38,80,1.94
2025-08-25,17940,E1,75300,1400,1.89,10873,6.93,,,287645,0.26,3450,4.58
2025-08-25,418620,E8,3550,5,0.14,,,,,714,4.97,0,0
2025-08-25,245620,EDGC,415,0,0,,,,,25,16.6,0,0
2025-08-25,37370,EG,5750,10,0.17,,,,,6681,0.86,0,0
2025-08-25,50120,ES큐브,2515,-120,-4.55,68,36.99,,,6413,0.39,0,0
2025-08-25,383220,F&F,67100,-900,-1.32,9504,7.06,10003,6.71,41565,1.61,1700,2.53
