Code,Name,Market,download_date,,
005930,삼성전자,KOSPI,2025-08-17 22:14,,
000660,SK하이닉스,KOSPI,2025-08-17 22:14,,
373220,LG에너지솔루션,KOSPI,2025-08-17 22:14,,
207940,삼성바이오로직스,KOSPI,2025-08-17 22:14,,
005935,삼성전자우,KOSPI,2025-08-17 22:14,,
012450,한화에어로스페이스,KOSPI,2025-08-17 22:14,,
005380,현대차,KOSPI,2025-08-17 22:14,,
105560,KB금융,KOSPI,2025-08-17 22:14,,
329180,HD현대중공업,KOSPI,2025-08-17 22:14,,
034020,두산에너빌리티,KOSPI,2025-08-17 22:14,,
000270,기아,KOSPI,2025-08-17 22:14,,
068270,셀트리온,KOSPI,2025-08-17 22:14,,
035420,NAVER,KOSPI,2025-08-17 22:14,,
055550,신한지주,KOSPI,2025-08-17 22:14,,
042660,한화오션,KOSPI,2025-08-17 22:14,,
035720,카카오,KOSPI,2025-08-17 22:14,,
028260,삼성물산,KOSPI,2025-08-17 22:14,,
012330,현대모비스,KOSPI,2025-08-17 22:14,,
009540,HD한국조선해양,KOSPI,2025-08-17 22:14,,
032830,삼성생명,KOSPI,2025-08-17 22:14,,
015760,한국전력,KOSPI,2025-08-17 22:14,,
005490,POSCO홀딩스,KOSPI,2025-08-17 22:14,,
086790,하나금융지주,KOSPI,2025-08-17 22:14,,
196170,알테오젠,KOSDAQ GLOBAL,2025-08-17 22:14,,
011200,HMM,KOSPI,2025-08-17 22:14,,
138040,메리츠금융지주,KOSPI,2025-08-17 22:14,,
000810,삼성화재,KOSPI,2025-08-17 22:14,,
051910,LG화학,KOSPI,2025-08-17 22:14,,
064350,현대로템,KOSPI,2025-08-17 22:14,,
402340,SK스퀘어,KOSPI,2025-08-17 22:14,,
316140,우리금융지주,KOSPI,2025-08-17 22:14,,
006400,삼성SDI,KOSPI,2025-08-17 22:14,,
267260,HD현대일렉트릭,KOSPI,2025-08-17 22:14,,
010140,삼성중공업,KOSPI,2025-08-17 22:14,,
096770,SK이노베이션,KOSPI,2025-08-17 22:14,,
033780,KT&G,KOSPI,2025-08-17 22:14,,
010130,고려아연,KOSPI,2025-08-17 22:14,,
024110,기업은행,KOSPI,2025-08-17 22:14,,
259960,크래프톤,KOSPI,2025-08-17 22:14,,
003670,포스코퓨처엠,KOSPI,2025-08-17 22:14,,
030200,KT,KOSPI,2025-08-17 22:14,,
247540,에코프로비엠,KOSDAQ GLOBAL,2025-08-17 22:14,,
034730,SK,KOSPI,2025-08-17 22:14,,
086280,현대글로비스,KOSPI,2025-08-17 22:14,,
323410,카카오뱅크,KOSPI,2025-08-17 22:14,,
066570,LG전자,KOSPI,2025-08-17 22:14,,
009150,삼성전기,KOSPI,2025-08-17 22:14,,
017670,SK텔레콤,KOSPI,2025-08-17 22:14,,
352820,하이브,KOSPI,2025-08-17 22:14,,
003550,LG,KOSPI,2025-08-17 22:14,,
018260,삼성에스디에스,KOSPI,2025-08-17 22:14,,
298040,효성중공업,KOSPI,2025-08-17 22:14,,
079550,LIG넥스원,KOSPI,2025-08-17 22:14,,
006800,미래에셋증권,KOSPI,2025-08-17 22:14,,
267250,HD현대,KOSPI,2025-08-17 22:14,,
003230,삼양식품,KOSPI,2025-08-17 22:14,,
272210,한화시스템,KOSPI,2025-08-17 22:14,,
010120,LS ELECTRIC,KOSPI,2025-08-17 22:14,,
000150,두산,KOSPI,2025-08-17 22:14,,
003490,대한항공,KOSPI,2025-08-17 22:14,,
000100,유한양행,KOSPI,2025-08-17 22:14,,
005830,DB손해보험,KOSPI,2025-08-17 22:14,,
377300,카카오페이,KOSPI,2025-08-17 22:14,,
042700,한미반도체,KOSPI,2025-08-17 22:14,,
047810,한국항공우주,KOSPI,2025-08-17 22:14,,
443060,HD현대마린솔루션,KOSPI,2025-08-17 22:14,,
047050,포스코인터내셔널,KOSPI,2025-08-17 22:14,,
087010,펩트론,KOSDAQ,2025-08-17 22:14,,
278470,에이피알,KOSPI,2025-08-17 22:14,,
180640,한진칼,KOSPI,2025-08-17 22:14,,
086520,에코프로,KOSDAQ GLOBAL,2025-08-17 22:14,,
326030,SK바이오팜,KOSPI,2025-08-17 22:14,,
071050,한국금융지주,KOSPI,2025-08-17 22:14,,
010620,HD현대미포,KOSPI,2025-08-17 22:14,,
021240,코웨이,KOSPI,2025-08-17 22:14,,
090430,아모레퍼시픽,KOSPI,2025-08-17 22:14,,
214450,파마리서치,KOSDAQ GLOBAL,2025-08-17 22:14,,
000720,현대건설,KOSPI,2025-08-17 22:14,,
064400,LG씨엔에스,KOSPI,2025-08-17 22:14,,
010950,S-Oil,KOSPI,2025-08-17 22:14,,
032640,LG유플러스,KOSPI,2025-08-17 22:14,,
000880,한화,KOSPI,2025-08-17 22:14,,
005940,NH투자증권,KOSPI,2025-08-17 22:14,,
016360,삼성증권,KOSPI,2025-08-17 22:14,,
034220,LG디스플레이,KOSPI,2025-08-17 22:14,,
005387,현대차2우B,KOSPI,2025-08-17 22:14,,
029780,삼성카드,KOSPI,2025-08-17 22:14,,
141080,리가켐바이오,KOSDAQ GLOBAL,2025-08-17 22:14,,
088980,맥쿼리인프라,KOSPI,2025-08-17 22:14,,
028050,삼성E&A,KOSPI,2025-08-17 22:14,,
039490,키움증권,KOSPI,2025-08-17 22:14,,
028300,HLB,KOSDAQ,2025-08-17 22:14,,
