종목코드,회사명,시장구분,업종,결산년도,자산총계,유동자산,고정자산,부채총계,유동부채,고정부채,자본총계,자본금,자본잉여금,이익잉여금,매출액,영업이익,당기순이익,매출액증감률,영업이익증감률
095570,AJ네트웍스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.72,14.92
006840,AK홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,7.61,17.54
027410,BGF,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.24,23.65
282330,BGF리테일,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.86,-16.26
138930,BNK금융지주,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.6,-3.53
001460,BYC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.09,2.71
001465,BYC우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-6.92,-4.84
001040,CJ,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.23,12.85
079160,CJ CGV,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.15,-14.39
00104K,CJ4우(전환),KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.61,21.39
000120,CJ대한통운,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.9,-2.96
011150,CJ씨푸드,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.62,-7.26
011155,CJ씨푸드1우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.47,16.92
001045,CJ우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.72,-9.35
097950,CJ제일제당,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.76,6.94
097955,CJ제일제당 우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.51,22.82
000480,CR홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.92,-1.03
000590,CS홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.74,18.82
012030,DB,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.58,11.18
016610,DB증권,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,10.84,8.43
005830,DB손해보험,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,10.37,6.51
000990,DB하이텍,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.92,-15.13
139130,iM금융지주,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.26,-7.14
001530,DI동일,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.48,-8.12
000210,DL,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.21,-3.47
000215,DL우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.75,22.81
375500,DL이앤씨,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-9.49,-13.89
37550L,DL이앤씨2우(전환),KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,0.54,23.07
37550K,DL이앤씨우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.94,17.21
007340,DN오토모티브,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.38,21.52
004840,DRB동일,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.83,-15.74
155660,DSR,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.18,7.87
069730,DSR제강,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.38,-8.18
017860,DS단석,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,5.2,12.49
017940,E1,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.57,-15.54
